Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	stationaryDist[1]	stationaryDist[2]	tree_length
0	-69.8858	-110.5648	40.67896	0.114668	0.148531	0.0451566	0.00567643	0.0460342	0.000241948	0.0607376	0.0251875	0.0069227	0.0095076	0.00500408	0.0281063	0.0102849	0.00122979	0.0074536	0.0536792	0.0110584	0.00820361	0.00452157	0.0614568	0.0118742	0.000745349	0.0209523	0.00998324	0.0172584	0.0369455	0.0382377	0.0371514	0.0106585	0.0296464	0.00542142	0.0533559	0.0115545	0.0249127	0.0939298	0.379249	1.620751	0.430235	0.662762	0.879563	1.13693	1.50884	2.32431	0.6098531	4.273581	0.108558	0.140616	0.0427502	0.00537394	0.043581	0.000229055	0.0575009	0.0238453	0.00655379	0.00900094	0.00473741	0.0266085	0.00973678	0.00116426	0.0070564	0.0508186	0.0104691	0.00776645	0.00428062	0.0581818	0.0112414	0.000705629	0.0198358	0.00945124	0.0163388	0.0349767	0.0362	0.0351717	0.0100905	0.0280666	0.00513251	0.0505126	0.0109388	0.0235851	0.0889243	0.810376	0.189624	1.056289
36	-74.49158	-117.2116	42.72002	0.0494906	0.0918153	0.12643	0.00282498	0.0157682	0.0083134	0.0140927	0.00155361	0.0318801	0.00258715	0.0641937	0.0175611	0.00243381	0.00121974	0.0198489	0.0154424	0.000724662	0.0203224	0.00300441	0.0620458	0.0115559	0.0365633	0.047769	0.00389746	0.00227829	0.00788511	0.0180275	0.0176856	0.0242176	0.0778212	0.00131212	0.0581501	0.00427017	0.00775906	0.137497	0.8934188	1.106581	0.853204	0.925495	0.976134	1.02445	1.0805	1.17205	0.114792	1.238592	0.049086	0.0910646	0.125397	0.00280189	0.0156393	0.00824543	0.0139774	0.0015409	0.0316195	0.00256599	0.0636689	0.0174175	0.00241391	0.00120976	0.0196866	0.0153161	0.000718737	0.0201563	0.00297985	0.0615385	0.0114614	0.0362644	0.0473784	0.0038656	0.00225967	0.00782064	0.0178801	0.017541	0.0240196	0.0771849	0.00130139	0.0576746	0.00423526	0.00769562	0.136373	0.553291	0.446709	1.008243
72	-80.23176	-121.7029	41.47116	0.0153807	0.0187077	0.0222034	0.0184634	0.00411675	1.346e-05	0.00731852	0.016763	0.0111863	0.00537304	0.000306634	0.00174378	0.00490561	0.0107542	0.00114518	0.00201439	0.0091654	0.0102108	0.00294523	0.0308815	0.000188768	0.000926301	0.0127609	0.00202583	0.0127868	0.00143528	0.0144021	0.00951997	0.00710117	0.011915	0.0123091	0.00580074	0.00668389	0.00568234	0.00195734	0.5854781	1.414522	0.327537	0.580218	0.84381	1.1851	1.72349	3.05309	0.8070571	2.416011	0.0514243	0.0625478	0.0742354	0.061731	0.013764	4.50024e-05	0.0244689	0.0560458	0.0374006	0.0179644	0.00102521	0.0058302	0.0164015	0.0359558	0.00382882	0.00673498	0.0306438	0.034139	0.00984715	0.10325	0.000631131	0.00309702	0.0426651	0.0067732	0.0427516	0.00479876	0.0481524	0.0318293	0.0237422	0.0398368	0.0411547	0.0193944	0.0223471	0.0189985	0.00654423	0.707261	0.292739	0.2990945
108	-75.68893	-117.8102	42.12124	0.0279046	0.0588413	0.0530326	0.0322616	0.056354	0.0389658	0.0762522	0.0167576	0.00354879	0.00573519	0.0213545	0.0262853	0.0068516	0.0271415	0.0198703	0.0313934	0.0114719	0.127466	0.05048	0.0185175	0.0104656	0.00577429	0.0274343	0.0179582	0.0683228	0.0110731	0.038362	0.0254197	0.0378208	0.0332118	0.000970085	0.0175388	0.0284206	0.0402244	0.0715191	0.7204224	1.279578	0.789119	0.890915	0.964606	1.03669	1.12244	1.26724	0.1712499	1.776149	0.0243708	0.0513897	0.0463167	0.028176	0.0492174	0.0340312	0.0665957	0.0146355	0.00309938	0.0050089	0.0186502	0.0229566	0.00598392	0.0237043	0.017354	0.0274178	0.0100191	0.111324	0.0440873	0.0161725	0.00914026	0.00504304	0.0239601	0.015684	0.0596705	0.00967082	0.0335039	0.0222005	0.0330312	0.0290059	0.000847235	0.0153177	0.0248214	0.0351304	0.0624621	0.639789	0.360211	1.145001
144	-74.75907	-115.9528	41.19372	0.0413027	0.0465049	0.0352997	0.025784	0.0270717	0.000208524	0.00448091	0.00545801	0.0148973	0.000702285	0.0113387	0.00342695	0.0726765	0.0338353	0.0143982	0.0234557	0.00743645	0.079179	0.03771	0.00659203	0.0362052	0.0248094	0.0297795	0.00784403	0.0376547	0.00144642	0.0936205	0.0138867	0.0193974	0.00377	0.00076106	0.101969	0.025694	0.00124152	0.00714236	0.543021	1.456979	0.305406	0.560755	0.834876	1.19778	1.78331	3.27433	0.8576419	2.683099	0.0460463	0.0518461	0.0393539	0.0287454	0.0301809	0.000232474	0.00499555	0.00608487	0.0166083	0.000782943	0.012641	0.00382054	0.0810235	0.0377213	0.0160519	0.0261496	0.00829053	0.0882728	0.042041	0.00734913	0.0403634	0.0276588	0.0331997	0.00874493	0.0419793	0.00161255	0.104373	0.0154816	0.0216252	0.00420299	0.000848468	0.11368	0.028645	0.00138411	0.00796266	0.72849	0.27151	0.896981
180	-70.32386	-113.2509	42.92706	0.0438172	0.0257412	0.0251846	0.0159685	0.0365145	0.00193406	0.0415983	0.0454934	0.0279309	0.0110173	0.00799332	0.00272978	0.0446518	0.00351789	0.0106245	0.00619208	0.00285143	0.0263647	0.00959493	0.0535531	0.0168196	0.0122737	0.0252933	0.0328904	0.0113068	0.0668529	0.00476671	0.00735397	0.0179923	0.00349429	0.000941612	0.0631328	0.0183022	9.95205e-05	0.00776919	1.095989	0.9040112	0.469093	0.691309	0.891211	1.12207	1.44653	2.13177	0.5473295	0.8248362	0.0598135	0.0351386	0.0343787	0.0217982	0.0498448	0.00264013	0.0567847	0.0621017	0.0381276	0.0150394	0.0109115	0.00372635	0.0609529	0.00480216	0.0145033	0.00845262	0.00389241	0.0359897	0.0130978	0.0731038	0.02296	0.0167544	0.0345271	0.0448977	0.0154346	0.0912589	0.00650689	0.0100387	0.0245608	0.00476995	0.00128537	0.0861807	0.0249838	0.000135852	0.0106055	0.452006	0.547994	0.7325628
216	-67.58419	-110.1312	42.54699	0.0795387	0.0855663	0.0461034	0.00444926	0.010787	0.00112034	0.00701973	0.0221021	0.00185268	0.0129225	0.0114698	0.0106454	0.0315854	0.000194648	0.0204498	0.0032548	0.00256862	0.0160288	0.0107668	0.0641742	0.00938603	0.0492124	0.0899679	0.0544111	0.00161496	0.130976	0.0248939	0.0325325	0.015393	0.0252493	0.0104055	0.0641732	0.014351	0.00137328	0.0208755	0.8781134	1.121887	0.682879	0.83025	0.943615	1.05975	1.20446	1.46439	0.2758054	1.27761	0.0805524	0.0866568	0.0466909	0.00450596	0.0109245	0.00113462	0.00710919	0.0223838	0.0018763	0.0130872	0.011616	0.0107811	0.0319879	0.000197129	0.0207104	0.00329628	0.00260136	0.0162331	0.010904	0.0649921	0.00950565	0.0498396	0.0911145	0.0551045	0.00163554	0.132645	0.0252112	0.0329471	0.0155892	0.0255711	0.0105381	0.0649911	0.0145339	0.00139078	0.0211416	0.560943	0.439057	0.9874158
252	-68.81903	-111.3141	42.49502	0.0478194	0.0897492	0.0319767	0.0263027	0.00138319	0.00578812	0.00980476	0.00528684	0.0427106	0.0164876	0.00169978	0.0105931	0.00977553	0.000187103	0.0585838	0.00145037	0.00181285	0.0684762	0.0289212	0.0601681	0.0371291	0.0122101	0.0382143	0.0353695	0.000313271	0.0326581	0.021235	0.0320396	0.0296203	0.0265724	0.00846052	0.103422	0.0247339	0.000305678	0.0037557	0.8812739	1.118726	0.579827	0.766585	0.920418	1.08646	1.30449	1.72465	0.3940905	1.269442	0.0516957	0.0970244	0.0345687	0.0284348	0.00149531	0.00625731	0.0105995	0.0057154	0.0461728	0.0178241	0.00183756	0.0114518	0.0105679	0.00020227	0.0633327	0.00156794	0.0019598	0.074027	0.0312656	0.0650454	0.0401388	0.0131999	0.041312	0.0382365	0.000338665	0.0353054	0.0229563	0.0346367	0.0320214	0.0287264	0.00914634	0.111806	0.0267389	0.000330457	0.00406014	0.559363	0.440637	0.9250171
288	-71.01236	-112.5174	41.50507	0.019917	0.0377299	0.00553091	0.0507594	0.0099409	0.000197625	0.000698773	0.00465796	0.0232536	0.0164262	0.00522053	0.0162112	0.00475945	0.00179228	0.0240162	0.002845	0.00390335	0.00819939	0.0082252	0.0159951	0.00714282	0.0317254	0.0176886	0.00369242	0.0027066	0.00536384	0.00150199	0.0099052	0.00835834	0.00821703	0.0125398	0.0418779	0.000642957	0.00675962	0.00379081	0.5682999	1.4317	0.321571	0.575039	0.841453	1.18842	1.73901	3.10974	0.8203493	2.519269	0.0471751	0.0893664	0.0131004	0.120228	0.0235459	0.000468091	0.0016551	0.0110328	0.0550781	0.0389067	0.0123653	0.0383976	0.0112732	0.00424517	0.0568844	0.00673862	0.00924542	0.019421	0.0194821	0.0378857	0.0169184	0.0751442	0.0418968	0.00874581	0.00641081	0.0127047	0.00355758	0.0234613	0.0197974	0.0194627	0.0297016	0.0991912	0.0015229	0.0160107	0.00897884	0.71585	0.28415	0.4221931
324	-76.42816	-117.711	41.28283	0.221287	0.0462125	0.0574672	0.0630696	0.100107	0.0210508	0.00371468	0.163135	0.0148453	0.0287681	0.00982995	0.0959878	0.0187654	0.0466204	0.0377696	0.00326261	0.0500858	0.0327792	0.0390867	0.175614	0.0718039	0.0407376	0.00603676	0.0455166	0.0471667	0.0109885	0.00560282	0.0522186	0.0649957	0.0217984	0.00581206	0.0101477	0.0326167	0.121372	0.158997	0.8509642	1.149036	0.685626	0.831878	0.944191	1.05911	1.2021	1.45852	0.2729026	1.350275	0.114938	0.0240031	0.0298489	0.0327588	0.0519961	0.010934	0.00192943	0.0847335	0.00771075	0.0149424	0.00510575	0.0498568	0.00974691	0.024215	0.0196178	0.00169462	0.026015	0.0170258	0.0203019	0.0912155	0.0372955	0.0211594	0.00313554	0.0236416	0.0244987	0.00570752	0.00291015	0.0271228	0.0337592	0.0113222	0.00301883	0.00527081	0.0169413	0.0630413	0.0825845	0.574518	0.425482	1.92527
